market_code,game_code,draw_no,draw_date,pool_code,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20,special_number,source_reference
HK,HK_MARKSIX,F0043,2024-02-12,main,10,12,27,28,35,40,,,,,,,,,,,,,,,31,Numeris固定測試fixture
HK,HK_MARKSIX,F0044,2024-02-13,main,6,9,21,30,44,47,,,,,,,,,,,,,,,32,Numeris固定測試fixture
HK,HK_MARKSIX,F0045,2024-02-14,main,6,9,21,37,41,42,,,,,,,,,,,,,,,36,Numeris固定測試fixture
HK,HK_MARKSIX,F0046,2024-02-15,main,3,12,29,34,36,42,,,,,,,,,,,,,,,5,Numeris固定測試fixture
HK,HK_MARKSIX,F0047,2024-02-16,main,8,13,19,20,25,29,,,,,,,,,,,,,,,41,Numeris固定測試fixture
HK,HK_MARKSIX,F0048,2024-02-17,main,8,16,17,18,30,45,,,,,,,,,,,,,,,38,Numeris固定測試fixture
HK,HK_MARKSIX,F0049,2024-02-18,main,4,18,23,27,40,47,,,,,,,,,,,,,,,10,Numeris固定測試fixture
HK,HK_MARKSIX,F0050,2024-02-19,main,10,19,24,26,29,43,,,,,,,,,,,,,,,2,Numeris固定測試fixture
HK,HK_MARKSIX,F0051,2024-02-20,main,12,18,37,38,44,49,,,,,,,,,,,,,,,32,Numeris固定測試fixture
HK,HK_MARKSIX,F0052,2024-02-21,main,1,2,14,21,34,47,,,,,,,,,,,,,,,12,Numeris固定測試fixture
HK,HK_MARKSIX,F0053,2024-02-22,main,12,13,25,33,44,45,,,,,,,,,,,,,,,9,Numeris固定測試fixture
HK,HK_MARKSIX,F0054,2024-02-23,main,4,12,13,20,38,39,,,,,,,,,,,,,,,45,Numeris固定測試fixture
HK,HK_MARKSIX,F0055,2024-02-24,main,16,17,22,32,33,37,,,,,,,,,,,,,,,30,Numeris固定測試fixture
HK,HK_MARKSIX,F0056,2024-02-25,main,3,7,21,41,45,47,,,,,,,,,,,,,,,38,Numeris固定測試fixture
HK,HK_MARKSIX,F0057,2024-02-26,main,2,25,38,44,46,47,,,,,,,,,,,,,,,12,Numeris固定測試fixture
HK,HK_MARKSIX,F0058,2024-02-27,main,6,10,12,27,32,33,,,,,,,,,,,,,,,23,Numeris固定測試fixture
HK,HK_MARKSIX,F0059,2024-02-28,main,6,10,19,34,46,49,,,,,,,,,,,,,,,2,Numeris固定測試fixture
HK,HK_MARKSIX,F0060,2024-02-29,main,6,18,19,28,31,45,,,,,,,,,,,,,,,44,Numeris固定測試fixture
TW,TW_BINGO,F0001,2024-01-01,main,2,6,8,9,12,13,15,32,34,36,38,47,52,53,56,59,67,69,76,80,,Numeris固定測試fixture
TW,TW_BINGO,F0002,2024-01-02,main,6,8,9,13,17,25,28,30,31,43,46,47,53,61,63,64,66,74,76,77,,Numeris固定測試fixture
TW,TW_BINGO,F0003,2024-01-03,main,6,8,14,16,24,30,31,37,45,49,55,56,60,62,66,67,74,76,78,79,,Numeris固定測試fixture
TW,TW_BINGO,F0004,2024-01-04,main,2,6,8,9,18,23,27,33,37,39,41,42,46,47,60,61,64,70,71,74,,Numeris固定測試fixture
TW,TW_BINGO,F0005,2024-01-05,main,2,9,17,23,30,32,35,41,42,44,46,47,49,50,54,60,61,69,74,80,,Numeris固定測試fixture
TW,TW_BINGO,F0006,2024-01-06,main,1,5,9,11,15,17,22,24,28,30,32,36,43,45,54,65,68,74,75,79,,Numeris固定測試fixture
TW,TW_BINGO,F0007,2024-01-07,main,1,8,14,18,19,23,24,25,29,31,35,37,44,45,53,56,58,62,65,72,,Numeris固定測試fixture
TW,TW_BINGO,F0008,2024-01-08,main,1,15,21,24,29,36,41,43,51,55,58,61,62,66,67,68,70,75,76,79,,Numeris固定測試fixture
TW,TW_BINGO,F0009,2024-01-09,main,2,10,30,35,41,42,43,44,46,47,48,49,55,56,63,70,71,72,76,80,,Numeris固定測試fixture
TW,TW_BINGO,F0010,2024-01-10,main,1,8,9,11,13,14,30,39,45,50,52,53,57,63,67,72,73,75,76,80,,Numeris固定測試fixture
TW,TW_BINGO,F0011,2024-01-11,main,1,2,3,6,7,13,19,20,21,25,31,34,45,46,47,48,59,63,65,78,,Numeris固定測試fixture
TW,TW_BINGO,F0012,2024-01-12,main,3,10,17,19,20,25,26,27,28,34,37,38,41,42,47,53,58,63,72,75,,Numeris固定測試fixture
TW,TW_BINGO,F0013,2024-01-13,main,3,8,10,13,14,15,20,22,24,32,33,34,37,50,52,55,61,64,67,68,,Numeris固定測試fixture
TW,TW_BINGO,F0014,2024-01-14,main,2,6,11,13,14,16,18,27,28,29,40,43,56,60,65,66,71,73,75,78,,Numeris固定測試fixture
TW,TW_BINGO,F0015,2024-01-15,main,3,7,8,10,11,21,30,40,41,47,48,55,57,59,62,63,65,68,72,77,,Numeris固定測試fixture
TW,TW_BINGO,F0016,2024-01-16,main,6,9,14,17,21,22,24,28,35,39,41,44,53,55,58,61,65,70,73,78,,Numeris固定測試fixture
TW,TW_BINGO,F0017,2024-01-17,main,4,7,12,15,21,26,29,30,31,37,40,41,45,50,51,54,64,70,71,80,,Numeris固定測試fixture
TW,TW_BINGO,F0018,2024-01-18,main,6,9,12,20,26,28,34,35,38,47,56,59,60,62,64,66,68,70,77,80,,Numeris固定測試fixture
TW,TW_BINGO,F0019,2024-01-19,main,3,9,18,22,31,35,38,41,42,47,49,56,58,61,65,67,73,74,76,77,,Numeris固定測試fixture
TW,TW_BINGO,F0020,2024-01-20,main,7,8,9,13,16,17,28,36,38,42,47,49,54,57,59,67,68,73,78,80,,Numeris固定測試fixture
TW,TW_BINGO,F0021,2024-01-21,main,1,2,4,15,17,18,19,20,24,28,36,40,41,53,56,57,63,64,76,79,,Numeris固定測試fixture
TW,TW_BINGO,F0022,2024-01-22,main,4,5,7,11,12,13,14,19,20,21,29,35,39,44,45,48,52,62,69,72,,Numeris固定測試fixture
TW,TW_BINGO,F0023,2024-01-23,main,7,8,11,16,17,18,23,40,43,45,46,47,57,58,59,61,65,70,76,77,,Numeris固定測試fixture
TW,TW_BINGO,F0024,2024-01-24,main,1,5,6,15,30,31,33,36,41,46,53,54,55,58,63,65,66,70,74,75,,Numeris固定測試fixture
TW,TW_BINGO,F0025,2024-01-25,main,3,6,13,23,24,30,36,40,42,44,45,47,48,58,60,63,65,66,67,68,,Numeris固定測試fixture
TW,TW_BINGO,F0026,2024-01-26,main,7,12,16,20,28,32,37,40,41,45,52,54,56,64,65,68,69,72,73,74,,Numeris固定測試fixture
TW,TW_BINGO,F0027,2024-01-27,main,5,8,17,21,28,35,44,47,48,50,57,63,66,67,72,73,76,78,79,80,,Numeris固定測試fixture
TW,TW_BINGO,F0028,2024-01-28,main,1,10,11,13,15,18,19,20,26,29,34,37,41,48,51,65,69,71,73,74,,Numeris固定測試fixture
TW,TW_BINGO,F0029,2024-01-29,main,1,11,17,20,21,22,27,28,30,32,35,36,42,45,47,63,65,72,79,80,,Numeris固定測試fixture
TW,TW_BINGO,F0030,2024-01-30,main,5,11,17,20,27,29,31,33,35,38,39,43,52,53,57,59,64,65,76,79,,Numeris固定測試fixture
TW,TW_BINGO,F0031,2024-01-31,main,2,8,10,11,16,18,20,22,24,27,32,52,59,60,61,65,68,73,79,80,,Numeris固定測試fixture
TW,TW_BINGO,F0032,2024-02-01,main,4,6,12,15,16,18,20,24,29,32,35,39,51,61,62,63,65,67,72,79,,Numeris固定測試fixture
TW,TW_BINGO,F0033,2024-02-02,main,2,6,10,17,21,25,26,28,31,32,38,40,43,50,52,55,60,61,62,66,,Numeris固定測試fixture
TW,TW_BINGO,F0034,2024-02-03,main,6,7,10,13,14,20,28,29,40,44,48,57,61,66,67,68,75,76,79,80,,Numeris固定測試fixture
TW,TW_BINGO,F0035,2024-02-04,main,1,4,8,10,12,25,26,34,37,40,48,50,55,57,62,68,71,72,74,78,,Numeris固定測試fixture
TW,TW_BINGO,F0036,2024-02-05,main,1,7,14,18,20,25,27,30,32,42,46,48,50,53,54,56,62,66,69,77,,Numeris固定測試fixture
TW,TW_BINGO,F0037,2024-02-06,main,3,6,13,19,20,23,27,28,30,33,34,36,45,50,55,67,68,72,75,80,,Numeris固定測試fixture
TW,TW_BINGO,F0038,2024-02-07,main,2,14,19,20,21,23,25,27,34,39,40,41,59,62,65,69,71,73,76,80,,Numeris固定測試fixture
TW,TW_BINGO,F0039,2024-02-08,main,1,6,9,11,17,23,26,27,33,38,43,45,48,49,59,63,73,76,77,79,,Numeris固定測試fixture
TW,TW_BINGO,F0040,2024-02-09,main,1,5,9,11,12,23,28,29,31,34,38,39,40,46,49,55,58,61,71,74,,Numeris固定測試fixture
TW,TW_BINGO,F0041,2024-02-10,main,1,8,12,14,21,22,24,25,30,34,35,38,53,57,70,72,73,74,76,78,,Numeris固定測試fixture
TW,TW_BINGO,F0042,2024-02-11,main,2,6,14,19,20,27,34,40,42,44,48,58,59,63,64,65,68,70,72,75,,Numeris固定測試fixture
TW,TW_BINGO,F0043,2024-02-12,main,4,13,17,18,23,25,26,34,40,46,47,58,60,64,65,66,68,72,78,79,,Numeris固定測試fixture
TW,TW_BINGO,F0044,2024-02-13,main,3,9,13,21,23,31,35,39,40,42,53,54,59,66,67,68,69,70,71,75,,Numeris固定測試fixture
TW,TW_BINGO,F0045,2024-02-14,main,6,9,14,17,18,22,26,28,29,37,40,47,48,49,58,59,61,66,70,76,,Numeris固定測試fixture
TW,TW_BINGO,F0046,2024-02-15,main,4,7,9,13,17,19,29,30,32,33,34,36,41,42,43,57,61,67,69,73,,Numeris固定測試fixture
TW,TW_BINGO,F0047,2024-02-16,main,1,10,16,25,34,39,41,42,49,52,53,54,59,62,64,66,67,70,72,77,,Numeris固定測試fixture
TW,TW_BINGO,F0048,2024-02-17,main,3,9,14,18,19,22,24,26,29,31,38,40,43,59,63,65,69,70,71,78,,Numeris固定測試fixture
TW,TW_BINGO,F0049,2024-02-18,main,1,3,7,8,12,14,27,29,33,35,40,47,52,58,67,70,72,74,79,80,,Numeris固定測試fixture
TW,TW_BINGO,F0050,2024-02-19,main,3,4,8,10,14,17,29,42,44,46,49,51,55,58,60,64,67,73,76,80,,Numeris固定測試fixture
TW,TW_BINGO,F0051,2024-02-20,main,5,8,9,10,15,22,26,30,31,40,43,46,48,49,52,55,59,61,70,78,,Numeris固定測試fixture
TW,TW_BINGO,F0052,2024-02-21,main,8,10,12,17,27,28,30,34,36,41,42,49,56,57,59,62,63,72,76,77,,Numeris固定測試fixture
TW,TW_BINGO,F0053,2024-02-22,main,2,4,5,17,20,22,34,38,39,51,52,54,55,58,61,63,67,69,70,75,,Numeris固定測試fixture
TW,TW_BINGO,F0054,2024-02-23,main,2,7,11,13,17,23,31,34,42,43,44,47,51,55,68,69,71,77,78,79,,Numeris固定測試fixture
TW,TW_BINGO,F0055,2024-02-24,main,1,13,14,17,22,25,35,36,39,44,46,49,51,56,58,62,63,64,71,74,,Numeris固定測試fixture
TW,TW_BINGO,F0056,2024-02-25,main,2,3,14,17,20,21,31,32,36,39,41,46,53,55,56,58,61,75,77,79,,Numeris固定測試fixture
TW,TW_BINGO,F0057,2024-02-26,main,11,21,28,30,32,41,44,45,48,49,55,56,59,66,69,70,71,73,76,79,,Numeris固定測試fixture
TW,TW_BINGO,F0058,2024-02-27,main,13,15,16,18,20,21,24,32,35,41,43,44,60,63,64,66,67,71,73,74,,Numeris固定測試fixture
TW,TW_BINGO,F0059,2024-02-28,main,5,7,8,11,12,20,25,30,36,37,40,49,51,52,57,69,74,76,79,80,,Numeris固定測試fixture
TW,TW_BINGO,F0060,2024-02-29,main,2,3,10,13,17,21,22,25,26,32,35,37,48,54,58,61,73,74,75,79,,Numeris固定測試fixture
TW,TW_DAILY539,F0001,2024-01-01,main,14,22,29,35,38,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0002,2024-01-02,main,3,8,12,14,21,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0003,2024-01-03,main,7,15,18,32,36,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0004,2024-01-04,main,2,11,17,26,35,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0005,2024-01-05,main,6,15,24,27,38,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0006,2024-01-06,main,1,3,12,14,31,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0007,2024-01-07,main,6,9,19,30,31,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0008,2024-01-08,main,9,10,16,33,39,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0009,2024-01-09,main,11,20,29,35,37,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0010,2024-01-10,main,18,19,20,34,38,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0011,2024-01-11,main,3,6,15,23,31,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0012,2024-01-12,main,1,2,3,6,25,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0013,2024-01-13,main,3,11,23,33,37,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0014,2024-01-14,main,2,11,12,26,39,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0015,2024-01-15,main,1,6,7,28,32,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0016,2024-01-16,main,8,11,20,27,28,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0017,2024-01-17,main,4,12,17,23,34,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0018,2024-01-18,main,15,17,29,30,37,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0019,2024-01-19,main,1,25,29,30,31,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0020,2024-01-20,main,2,13,23,25,35,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0021,2024-01-21,main,15,16,19,21,28,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0022,2024-01-22,main,7,15,20,25,36,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0023,2024-01-23,main,3,12,21,26,38,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0024,2024-01-24,main,5,10,25,30,34,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0025,2024-01-25,main,12,19,23,32,33,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0026,2024-01-26,main,1,3,13,18,31,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0027,2024-01-27,main,7,8,16,18,20,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0028,2024-01-28,main,1,12,14,24,32,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0029,2024-01-29,main,11,20,23,25,29,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0030,2024-01-30,main,1,22,28,32,34,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0031,2024-01-31,main,2,10,12,13,24,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0032,2024-02-01,main,7,12,17,22,34,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0033,2024-02-02,main,10,11,13,22,25,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0034,2024-02-03,main,4,8,28,36,39,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0035,2024-02-04,main,6,13,20,33,39,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0036,2024-02-05,main,4,21,22,32,37,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0037,2024-02-06,main,4,9,11,15,39,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0038,2024-02-07,main,7,14,24,31,35,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0039,2024-02-08,main,9,22,23,37,38,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0040,2024-02-09,main,9,15,20,24,35,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0041,2024-02-10,main,8,23,24,30,31,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0042,2024-02-11,main,4,6,7,23,26,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0043,2024-02-12,main,3,19,28,36,37,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0044,2024-02-13,main,4,21,22,24,32,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0045,2024-02-14,main,10,20,24,25,30,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0046,2024-02-15,main,8,12,34,37,39,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0047,2024-02-16,main,3,19,26,29,39,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0048,2024-02-17,main,4,25,30,33,39,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0049,2024-02-18,main,1,4,9,12,26,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0050,2024-02-19,main,1,11,18,28,34,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0051,2024-02-20,main,1,7,11,26,34,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0052,2024-02-21,main,3,13,14,29,34,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0053,2024-02-22,main,8,22,23,31,36,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0054,2024-02-23,main,3,26,34,36,37,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0055,2024-02-24,main,10,22,25,26,27,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0056,2024-02-25,main,12,22,25,26,27,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0057,2024-02-26,main,16,19,25,35,38,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0058,2024-02-27,main,11,18,24,29,38,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0059,2024-02-28,main,10,22,23,31,38,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_DAILY539,F0060,2024-02-29,main,11,19,21,26,30,,,,,,,,,,,,,,,,,Numeris固定測試fixture
TW,TW_LOTTO649,F0001,2024-01-01,main,9,13,14,25,27,48,,,,,,,,,,,,,,,37,Numeris固定測試fixture
TW,TW_LOTTO649,F0002,2024-01-02,main,10,16,24,29,30,48,,,,,,,,,,,,,,,7,Numeris固定測試fixture
TW,TW_LOTTO649,F0003,2024-01-03,main,10,20,24,32,41,46,,,,,,,,,,,,,,,26,Numeris固定測試fixture
TW,TW_LOTTO649,F0004,2024-01-04,main,6,17,20,28,38,48,,,,,,,,,,,,,,,42,Numeris固定測試fixture
TW,TW_LOTTO649,F0005,2024-01-05,main,4,12,18,22,25,34,,,,,,,,,,,,,,,8,Numeris固定測試fixture
TW,TW_LOTTO649,F0006,2024-01-06,main,16,17,19,25,32,37,,,,,,,,,,,,,,,7,Numeris固定測試fixture
TW,TW_LOTTO649,F0007,2024-01-07,main,1,3,9,27,35,40,,,,,,,,,,,,,,,17,Numeris固定測試fixture
TW,TW_LOTTO649,F0008,2024-01-08,main,8,10,15,28,37,39,,,,,,,,,,,,,,,3,Numeris固定測試fixture
TW,TW_LOTTO649,F0009,2024-01-09,main,2,34,36,45,46,47,,,,,,,,,,,,,,,30,Numeris固定測試fixture
TW,TW_LOTTO649,F0010,2024-01-10,main,3,8,14,31,44,49,,,,,,,,,,,,,,,19,Numeris固定測試fixture
TW,TW_LOTTO649,F0011,2024-01-11,main,18,19,20,25,32,34,,,,,,,,,,,,,,,15,Numeris固定測試fixture
TW,TW_LOTTO649,F0012,2024-01-12,main,8,19,27,36,39,41,,,,,,,,,,,,,,,16,Numeris固定測試fixture
TW,TW_LOTTO649,F0013,2024-01-13,main,2,18,29,31,37,48,,,,,,,,,,,,,,,15,Numeris固定測試fixture
TW,TW_LOTTO649,F0014,2024-01-14,main,12,21,29,36,38,49,,,,,,,,,,,,,,,44,Numeris固定測試fixture
TW,TW_LOTTO649,F0015,2024-01-15,main,8,28,33,34,36,45,,,,,,,,,,,,,,,24,Numeris固定測試fixture
TW,TW_LOTTO649,F0016,2024-01-16,main,29,31,35,41,43,46,,,,,,,,,,,,,,,6,Numeris固定測試fixture
TW,TW_LOTTO649,F0017,2024-01-17,main,3,5,12,14,17,23,,,,,,,,,,,,,,,20,Numeris固定測試fixture
TW,TW_LOTTO649,F0018,2024-01-18,main,9,25,32,34,37,42,,,,,,,,,,,,,,,28,Numeris固定測試fixture
TW,TW_LOTTO649,F0019,2024-01-19,main,4,16,27,32,35,42,,,,,,,,,,,,,,,44,Numeris固定測試fixture
TW,TW_LOTTO649,F0020,2024-01-20,main,4,9,13,16,20,27,,,,,,,,,,,,,,,7,Numeris固定測試fixture
TW,TW_LOTTO649,F0021,2024-01-21,main,13,18,28,32,39,42,,,,,,,,,,,,,,,12,Numeris固定測試fixture
